Key,id,en
ui.travel.title,"Peta Perjalanan Indonesia","Indonesia Travel Map"
ui.travel.depart,"Berangkat","Depart"
ui.travel.select,"Pilih Tujuan","Select Destination"
ui.travel.locked,"Terkunci","Locked"
ui.travel.available,"Tersedia","Available"
ui.social.title,"Hubungan Sosial","Social Relationships"
ui.social.search,"Cari pemain online...","Search online players..."
ui.social.find,"Cari","Search"
ui.social.send,"Kirim Permintaan","Send Request"
ui.social.remove,"Hapus","Remove"
ui.galeri.title,"Galeri Koleksi","Collectible Gallery"
ui.galeri.like,"Suka","Like"
ui.achievement.title,"Pencapaian","Achievements"
ui.achievement.new,"Pencapaian Baru!","New Achievement!"
ui.achievement.locked,"Belum terbuka","Locked"
ui.generic.close,"Tutup","Close"
ui.generic.confirm,"Konfirmasi","Confirm"
ui.generic.cancel,"Batal","Cancel"
ui.generic.back,"Kembali","Back"
